1-5	6540	24372
1-6	12738	59802
1-7	26962	160641
1-8	56609	401024
1-9	74455	557050
1-10	77767	580387
1-11	81178	604295
1-12	84721	628990
1-13	88394	654645
1-14	92220	681524
1-15	96046	708501
1-16	100012	736547
1-17	104130	765365
1-18	108401	795862
1-19	112824	827127
1-20	117400	859643
1-21	122128	893678
1-22	126856	927954
1-23	131737	964010
1-24	136618	1000092
1-25	141499	1036205
1-26	146380	1072333
1-27	151261	1108384
1-28	156142	1144665
1-29	161175	1181892
1-30	166361	1220350
1-31	171547	1258602
1-32	176885	1298185
1-33	182376	1338551
1-34	188019	1380189
1-35	193815	1422950
1-36	199763	1467416
1-37	205864	1513080
1-38	211965	1558584
1-39	218218	1605624
1-40	224471	1652700
1-41	230724	1699647
1-42	236977	1746412
1-43	243230	1792659
1-44	249483	1839639
2-4	2280	5517
2-5	3497	10111
2-6	38409	243436
2-7	40516	255907
2-8	42464	267844
2-9	44515	280269
2-10	46668	293484
2-11	48924	307422
2-12	51282	322269
2-13	53719	337707
2-14	56257	353692
2-15	58897	370393
2-16	61638	387609
2-17	64379	404859
2-18	67222	422723
2-19	70166	441406
2-20	73212	460885
2-21	76359	480854
2-22	79608	501632
2-23	82958	523172
2-24	86410	545682
2-25	89963	568914
2-26	93618	592607
2-27	97374	617393
2-28	101232	642729
2-29	105191	669058
2-30	109252	696416
2-31	113313	723434
2-32	117475	751780
2-33	121637	780000
2-34	125901	808767
2-35	130165	837736
2-36	134429	866824
2-37	138794	896699
2-38	143159	926345
3-3	5711	22485
3-4	11533	55830
3-5	22227	133436
3-6	29221	185449
3-7	30968	196131
3-8	32783	207294
3-9	34694	219184
3-10	36700	231789
3-11	38802	245214
3-12	40999	259287
3-13	43292	274130
3-14	45680	289915
3-15	48068	305567
3-16	50552	322120
3-17	53131	339520
3-18	55806	357635
3-19	58576	376651
3-20	61442	396928
3-21	64403	418211
3-22	67460	440331
3-23	70612	462752
3-24	73764	485234
3-25	77012	508577
3-26	80355	532793
3-27	83698	556880
3-28	87137	581521
3-29	90671	606810
3-30	94205	631789
3-31	97835	657808
3-32	101465	683440
3-33	105095	709493
3-34	108820	736276
3-35	112545	763055
3-36	116366	790141
3-37	120282	818224
3-38	124294	846575
3-39	128306	875429
3-40	132413	904430
3-41	136520	933875
3-42	140627	963130
4-5	11856	55076
4-6	20201	111890
4-7	33115	214150
4-8	35064	226298
4-9	37115	239198
4-10	39258	252586
4-11	41492	266721
4-12	43827	281779
4-13	46162	296740
4-14	48599	312337
4-15	51137	328770
4-16	53777	345938
4-17	56518	363791
4-18	59361	382434
4-19	62305	402067
4-20	65351	422489
4-21	68498	443553
4-22	71645	464843
4-23	74894	486982
4-24	78244	510221
4-25	81594	533411
4-26	85046	557393
4-27	88599	582430
4-28	92254	608827
4-29	95909	634838
4-30	99564	660800
4-31	103219	687475
4-32	106874	713888
4-33	110529	740315
4-34	114184	766497
4-35	117839	792835
4-36	121494	819296
4-37	125149	845832
4-38	128804	872205
4-39	132459	898305
4-40	136114	924433
4-41	139769	951257
4-42	143424	977686
4-43	147079	1003938
5-4	3668	10467
5-5	6460	23823
5-6	10079	43680
5-7	18070	96836
5-8	27891	170430
5-9	36140	232958
5-10	38304	246637
5-11	40571	261084
5-12	42941	276039
5-13	45414	291554
5-14	47990	307743
