1-3	0.6777517741204893	1-3	6322	24162
1-4	0.6860939151441945	1-4	8275	34558
1-5	0.6824701796768836	1-5	10661	47795
1-6	0.6889249584780311	1-6	20710	115931
1-7	0.6883210025668126	1-7	39337	255332
1-8	0.6868866072776687	1-8	58665	413726
1-9	0.6829608938547486	1-9	71643	528921
1-10	0.686962101766571	1-10	75182	555233
1-11	0.6882455080779103	1-11	78417	577987
1-12	0.6825834214102371	1-12	81799	601881
1-13	0.6849237505662087	1-13	85328	626899
1-14	0.6848860033217575	1-14	88991	653398
1-15	0.6901706175449193	1-15	92801	681240
1-16	0.6862449041219991	1-16	96757	710158
1-17	0.6879812773667522	1-17	100860	739965
1-18	0.6842065529216367	1-18	105109	771522
1-19	0.6864713875887061	1-19	109505	804808
1-20	0.6861694096330968	1-20	114047	839327
1-21	0.6856032009663294	1-21	118736	875245
1-22	0.6880190246112033	1-22	123571	912908
1-23	0.684017816699381	1-23	128553	951445
1-24	0.6836025970104183	1-24	133681	991514
1-25	0.682092707232372	1-25	138809	1031682
1-26	0.6862826513664503	1-26	144084	1072979
1-27	0.6905103427449796	1-27	149505	1115236
1-28	0.6822059489657255	1-28	155073	1158847
1-29	0.6809980371432885	1-29	160641	1202764
1-30	0.6842443001660878	1-30	166355	1247903
1-31	0.685225728521818	1-31	172216	1294421
1-32	0.6794504001207912	1-32	178077	1340881
1-33	0.6839800694549298	1-33	183938	1387080
1-34	0.685225728521818	1-34	189945	1434692
1-35	0.6903971010116261	1-35	195952	1482636
1-36	0.6876038049222407	1-36	202106	1531109
2-5	0.32707987316925863	2-5	3647	10737
2-6	0.6867356182998641	2-6	6360	24451
2-7	0.685489959232976	2-7	10101	45169
2-8	0.6885474860335196	2-8	17812	96445
2-9	0.6845840253661483	2-9	31649	202199
2-10	0.6858296844330364	2-10	36622	239204
2-11	0.6894534199003473	2-11	38878	253426
2-12	0.6826966631435906	2-12	41225	268201
2-13	0.6843952891438925	2-13	43674	283660
2-14	0.6789219386984751	2-14	46212	299899
2-15	0.6844707836327948	2-15	48852	316663
2-16	0.6864336403442549	2-16	51593	334432
2-17	0.6864336403442549	2-17	54436	353288
2-18	0.684508530877246	2-18	57380	372857
2-19	0.6838290804771252	2-19	60426	393278
2-20	0.6801675977653632	2-20	63573	414432
2-21	0.691076551411747	2-21	66822	436275
2-22	0.6848482560773064	2-22	70172	459067
2-23	0.6870753434999245	2-23	73624	482377
2-24	0.6861694096330968	2-24	77177	506579
2-25	0.6777140268760381	2-25	80832	532119
2-26	0.6836025970104183	2-26	84487	557257
2-27	0.6853389702551713	2-27	88243	583930
2-28	0.6835648497659671	2-28	92101	611816
2-29	0.6870375962554733	2-29	95959	639749
2-30	0.6838290804771252	2-30	99918	668093
