1-5	0.3396874528159444	1-5	382798	1913155
1-6	0.39143892495847804	1-6	466217	2348026
1-7	0.3819643666012381	1-7	728082	3598843
1-8	0.42016457798580703	1-8	754127	3733380
1-9	0.4206175449192209	1-9	767403	3801102
1-10	0.37913332326740146	1-10	796485	3953456
1-11	0.4112562282953344	1-11	827815	4121011
1-12	0.4493431979465499	1-12	845947	4214449
1-13	0.4206175449192209	1-13	864877	4312388
1-14	0.43209270723237203	1-14	916688	4585772
1-15	0.43971765061150536	1-15	1009307	5084873
1-16	0.43854748603351956	1-16	1107436	5624478
1-17	0.4515325381247169	1-17	1182724	6010268
1-18	0.4587045145704364	1-18	1215966	6186970
1-19	0.4528914389249585	1-19	1247274	6353457
1-20	0.45953495394836175	1-20	1308101	6688834
1-21	0.45776083345915747	1-21	1342149	6870507
1-22	0.45953495394836175	1-22	1377564	7058779
1-23	0.45794956968141326	1-23	1414395	7255183
1-24	0.45727011928129246	1-24	1452640	7459278
1-25	0.46078061301524986	1-25	1562580	8038030
1-26	0.4559867129699532	1-26	1630518	8373189
1-27	0.4631209421712215	1-27	1677425	8621481
1-28	0.4558734712365997	1-28	1725877	8878677
1-29	0.4528914389249585	1-29	1806215	9311645
1-30	0.46055412954854297	1-30	1944860	10002588
1-31	0.4550052846142232	1-31	2011033	10349162
1-32	0.4563264381700136	1-32	2078923	10704648
1-33	0.45979918465951986	1-33	2177645	11229585
1-34	0.4511173184357542	1-34	2291570	11851143
1-35	0.4633474256379284	1-35	2433206	12588243
1-36	0.4613090744375661	1-36	2519124	13047558
1-37	0.46055412954854297	1-37	2607221	13517608
1-38	0.4584780311037294	1-38	2727319	14258697
1-39	0.46383813981579347	1-39	2821248	14759485
1-40	0.45447682319190696	1-40	2917448	15275057
1-41	0.4574966027479994	1-41	3016072	15803442
1-42	0.45953495394836175	1-42	3119531	16448749
1-43	0.4611203382153103	1-43	3247646	17222592
1-44	0.4621772610599426	1-44	3459580	18428486
1-45	0.46172429412652877	1-45	3579272	19157501
1-46	0.4591952287483014	1-46	3725749	19945582
1-47	0.45979918465951986	1-47	3852518	20709432
1-48	0.4594594594594595	1-48	3977281	21374422
1-49	0.4583270421259248	1-49	4141679	22247245
1-50	0.455684735014344	1-50	4278511	22981567
1-51	0.4621017665710403	1-51	4450026	23918379
1-52	0.4638003925713423	1-52	4598310	24719426
1-53	0.4573456137701948	1-53	4972288	26782350
1-54	0.4528914389249585	1-54	5139364	27785192
1-55	0.464215612260305	1-55	5354739	29025937
1-56	0.46281896421561225	1-56	5527373	30055724
1-57	0.4601766571040314	1-57	5700006	31086922
1-58	0.46629171070511855	1-58	5872538	32114959
1-59	0.4574211082590971	1-59	6342681	34677987
1-60	0.45534500981428355	1-60	6532459	35788499
1-61	0.4588932507926921	1-61	6722213	36899747
1-62	0.46096934923750565	1-62	6911917	38009111
1-63	0.4596481956817152	1-63	7101597	39117496
1-64	0.4614978106598218	1-64	7291252	40228209
1-65	0.45677940510342746	1-65	7534229	41645171
1-66	0.4586667673259852	1-66	7732453	42803877
1-67	0.4580250641703156	1-67	7929667	43957701
1-68	0.45659066888117167	1-68	8130788	45133869
1-69	0.4680658311943228	1-69	8333571	46317750
1-70	0.4605163823040918	1-70	8577094	47708513
1-71	0.454967537369772	1-71	8785379	48921824
1-72	0.4644043484825608	1-72	8995146	50139992
1-73	0.45708138305903667	1-73	9503907	53046699
1-74	0.4607428657707987	1-74	9720428	54310041
1-75	0.4659519855050581	1-75	10211338	57002261
1-76	0.46089385474860334	1-76	10439452	58320670
1-77	0.46123357994866376	1-77	10665968	59633626
1-78	0.4654612713271931	1-78	10932630	61049797
1-79	0.4563641854144647	1-79	11211281	62652555
1-80	0.46183753585988224	1-80	11515029	64311819
1-81	0.4614978106598218	1-81	11770855	65782933
1-82	0.46225275554884493	1-82	12026682	67254004
1-83	0.4559867129699532	1-83	12301836	68755400
1-84	0.462026272082138	1-84	12611013	70551977
1-85	0.43526347576626906	1-85	12881731	72108606
1-86	0.4618752831043334	1-86	13282961	74371151
1-87	0.4617620413709799	1-87	13579619	76090012
1-88	0.4588932507926921	1-88	13878399	77817833
1-89	0.45836478937037595	1-89	14177152	79545654
1-90	0.46006341537067796	1-90	14475824	81276776
1-91	0.4592707232372037	1-91	14775663	82919647
1-92	0.46319643666012383	1-92	15081973	84603316
1-93	0.46251698626000304	1-93	16202917	90866813
1-94	0.45776083345915747	1-94	16914998	94912323
1-95	0.4599501736373245	1-95	17258315	96813428
1-96	0.4550052846142232	1-96	17608239	98757454
1-97	0.4565529216367205	1-97	17965048	100742889
1-98	0.45670391061452514	1-98	18318389	102712012
1-99	0.4567416578589763	1-99	18711574	104884393
1-100	0.45768533897025515	1-100	19094525	107104506
1-101	0.4543258342141024	1-101	19522683	109473940
1-102	0.4658009965272535	1-102	19920571	111775867
2-4	0.1455156273592028	2-4	6015	17946
2-5	0.2739695002264835	2-5	20198	76068
2-6	0.3853616186018421	2-6	481312	2304525
2-7	0.3670542050430319	2-7	519599	2479878
2-8	0.39619507775932356	2-8	703042	3440147
2-9	0.3908727162917107	2-9	823376	4077087
2-10	0.39521364940359355	2-10	910761	4507328
2-11	0.42141023705269515	2-11	957591	4741282
2-12	0.39026876038049224	2-12	997366	4941673
2-13	0.40310282349388493	2-13	1088251	5397121
2-14	0.44390759474558356	2-14	1259962	6247345
2-15	0.4410388041672958	2-15	1296081	6428464
2-16	0.44451155065680203	2-16	1350552	6706107
2-17	0.4478333081685037	2-17	1411937	7018773
2-18	0.44628567114600637	2-18	1457054	7247265
2-19	0.44254869394534196	2-19	1504081	7486128
2-20	0.4399441340782123	2-20	1610276	8026491
2-21	0.44534199003472746	2-21	1729812	8643011
2-22	0.4443228144345463	2-22	1792497	8961803
2-23	0.44873924203533144	2-23	1892014	9469034
2-24	0.45893099803714327	2-24	1960350	9818109
2-25	0.4493431979465499	2-25	2030849	10178226
2-26	0.4494941869243545	2-26	2104331	10554879
2-27	0.45643967990336703	2-27	2180151	10943058
2-28	0.45447682319190696	2-28	2258655	11346909
2-29	0.4498716593688661	2-29	2339534	11763165
2-30	0.4517212743469727	2-30	2423051	12192952
2-31	0.44953193416880566	2-31	2536690	12770352
