1-4	4542	12779
1-5	113543	465029
1-6	116643	477854
1-7	120066	491977
1-8	127380	523822
1-9	134771	554923
1-10	139204	573584
1-11	147891	610502
1-12	163192	678778
1-13	169000	703880
1-14	175122	730403
1-15	186198	779014
1-16	199226	836018
1-17	206812	868827
1-18	219355	1041227
1-19	232351	1216870
1-20	245164	1391105
1-21	257918	1565232
1-22	275639	1759902
1-23	289155	1938454
1-24	302571	2116066
1-25	316525	2296427
1-26	330340	2475921
1-27	344053	2654698
1-28	357717	2833201
1-29	371271	3010038
1-30	384887	3187587
1-31	398815	3368470
1-32	413253	3551623
1-33	427090	3731782
1-34	440913	3912411
1-35	454700	4092299
1-36	468369	4272695
1-37	482076	4450546
1-38	503350	4664762
1-39	517792	4848129
1-40	532269	5030473
1-41	546697	5213720
1-42	561023	5395034
1-43	579014	5588806
1-44	593592	5773782
1-45	608090	5955207
1-46	625195	6146858
1-47	640371	6331075
1-48	655535	6514741
1-49	670711	6700354
1-50	685873	6883189
1-51	701074	7068716
1-52	716236	7252535
1-53	731373	7437869
1-54	746498	7621630
1-55	761634	7806287
1-56	779461	7885747
1-57	791135	7936119
1-58	808035	8128603
1-59	824881	8320332
1-60	842065	8514614
1-61	854420	8579880
1-62	871277	8771589
1-63	888105	8963835
1-64	904947	9154723
1-65	921776	9346156
1-66	938619	9537067
1-67	955475	9729450
1-68	972317	9920826
1-69	989118	10111983
1-70	1005946	10303707
1-71	1022745	10494115
1-72	1039530	10686868
1-73	1056315	10878362
1-74	1073100	11070759
1-75	1089872	11263107
1-76	1106643	11452816
1-77	1128916	11669654
1-78	1146767	11866080
1-79	1164604	12062157
1-80	1182441	12258476
1-81	1200265	12454967
1-82	1218089	12651680
1-83	1235913	12847026
1-84	1253737	13045475
1-85	1271561	13242039
1-86	1289343	13438537
2-6	30804	119709
2-7	42649	173188
2-8	52096	214887
2-9	57480	238950
2-10	63355	265086
2-11	69785	293479
2-12	85095	360000
2-13	93870	400436
2-14	100023	428028
2-15	105340	451600
2-16	110855	476346
2-17	126000	545464
2-18	137340	593405
2-19	144836	627734
2-20	152494	662914
2-21	160277	699101
2-22	174123	764463
2-23	182682	804322
2-24	191572	845241
2-25	207467	917272
2-26	217136	962244
2-27	232208	1032810
2-28	242912	1085762
2-29	253728	1135914
2-30	264864	1187383
2-31	276423	1242868
2-32	299570	1471405
2-33	315923	1665135
2-34	332646	1860737
2-35	349491	2057551
2-36	366747	2254878
2-37	383447	2450068
2-38	395444	2506409
2-39	407769	2564837
2-40	425003	2762014
2-41	442219	2960479
2-42	459353	3158831
2-43	476409	3356383
2-44	493500	3555063
2-45	510552	3752492
2-46	527625	3950574
2-47	544621	4148425
2-48	561540	4345349
2-49	578438	4542250
2-50	595295	4738105
2-51	612173	4934749
2-52	629031	5130555
2-53	645870	5327130
2-54	662708	5523340
2-55	679547	5721518
2-56	696386	5918895
2-57	713244	6115415
2-58	730140	6314186
2-59	746979	6512308
2-60	763817	6708188
2-61	780655	6904129
2-62	797494	7101641
2-63	814333	7299678
2-64	831171	7495932
2-65	848010	7693283
2-66	864848	7889552
2-67	885929	7995962
2-68	913330	8249261
2-69	931782	8455417
2-70	950109	8660262
2-71	968194	8862669
2-72	986867	9069501
2-73	1005520	9274635
2-74	1024173	9480315
2-75	1042827	9688220
2-76	1061480	9894230
2-77	1080134	10101064
2-78	1098748	10307739
2-79	1117341	10513287
2-80	1135916	10719338
2-81	1154410	10924760
2-82	1172904	11130217
2-83	1191416	11334486
2-84	1209929	11540458
2-85	1228423	11746209
2-86	1246917	11951131
2-87	1265390	12154178
2-88	1283863	12358077
2-89	1302337	12563213
2-90	1320811	12770705
2-91	1339284	12974809
2-92	1357758	13180078
2-93	1376231	13384662
2-94	1394705	13589512
2-95	1413179	13795215
2-96	1431652	13999633
2-97	1450125	14203448
2-98	1468598	14407867
2-99	1487072	14613643
2-100	1505505	14819738
2-101	1523938	15024449
2-102	1542371	15229437
2-103	1560804	15433923
3-4	4353	11914
3-5	6157	17932
3-6	7696	23211
3-7	10453	33468
3-8	105411	405510
3-9	109687	422538
3-10	113157	436397
3-11	116856	451200
3-12	120763	467035
3-13	134531	527469
3-14	164280	660720
3-15	170379	685877
3-16	176683	712423
3-17	183203	740666
3-18	189872	770956
3-19	202284	827200
3-20	215595	890008
3-21	223595	927915
3-22	231828	966619
3-23	240283	1005525
3-24	257870	1089523
3-25	267680	1133491
3-26	277002	1178959
3-27	286432	1221244
3-28	296245	1270764
3-29	311302	1457846
3-30	325775	1641520
3-31	340156	1822649
3-32	350362	1880278
3-33	360439	1927874
3-34	370751	1975963
3-35	381326	2024500
3-36	392354	2077330
3-37	403534	2129407
3-38	414952	2182986
3-39	431250	2375673
3-40	447471	2566317
3-41	463654	2757491
3-42	479836	2948869
3-43	496057	3140384
3-44	512180	3331495
3-45	528243	3521076
3-46	544326	3711446
3-47	560409	3902352
3-48	576473	4093739
3-49	599853	4199655
3-50	613095	4260221
3-51	631241	4460140
3-52	649388	4661478
3-53	667514	4861866
3-54	685599	5063295
3-55	710612	5296172
3-56	730050	5503500
3-57	749445	5710010
3-58	764946	5788160
3-59	785074	5998360
3-60	806304	6211323
