1-3	0.3151894911671448	1-3	2018	4440
1-4	0.6493280990487694	1-4	67986	490166
1-5	0.6489128793598067	1-5	70861	509805
1-6	0.6488751321153555	1-6	73534	529287
1-7	0.6525743620715688	1-7	76322	548873
1-8	0.6545372187830288	1-8	79584	579564
1-9	0.6447606824701797	1-9	91888	662594
1-10	0.6536312849162011	1-10	95988	691285
1-11	0.65261210931602	1-11	99917	724963
1-12	0.6457798580703609	1-12	103953	757717
1-13	0.6497433187377322	1-13	107967	786407
1-14	0.6523101313604107	1-14	112143	816598
1-15	0.6486109014041975	1-15	116518	848970
1-16	0.6842443001660878	1-16	121034	881819
1-17	0.6509889778046203	1-17	125811	919608
1-18	0.6486486486486487	1-18	130628	954923
1-19	0.6534048014494942	1-19	135696	994123
1-20	0.6454778801147516	1-20	140847	1032022
1-21	0.6506115053601087	1-21	153345	1119655
1-22	0.6517816699380945	1-22	159586	1165295
1-23	0.6502717801600483	1-23	165721	1210754
1-24	0.6495168352710252	1-24	171876	1257223
1-25	0.6525743620715688	1-25	178058	1301956
1-26	0.6519326589158991	1-26	184412	1349396
1-27	0.6506115053601087	1-27	190957	1398411
1-28	0.6496300770043787	1-28	206685	1532068
1-29	0.6546504605163823	1-29	213794	1585125
1-30	0.6576702400724747	1-30	221105	1640890
1-31	0.6498565604710856	1-31	228520	1696262
1-32	0.6466102974482862	1-32	236119	1752893
1-33	0.649214857315416	1-33	331448	2471494
1-34	0.6499698022044391	1-34	342195	2553418
1-35	0.684999245055111	1-35	351797	2625571
1-36	0.6846217726105994	1-36	392398	2966790
1-37	0.6792994111429865	1-37	415259	3171818
1-38	0.684508530877246	1-38	426416	3257263
1-39	0.6879057828778499	1-39	449037	3418012
1-40	0.6865846293220594	1-40	461259	3514487
1-41	0.6842443001660878	1-41	473575	3615224
1-42	0.683074135588102	1-42	485859	3709783
1-43	0.6871508379888268	1-43	498672	3816007
1-44	0.6852634757662691	1-44	511623	3921251
1-45	0.6894156726558961	1-45	524652	4023764
1-46	0.6860939151441945	1-46	537935	4129166
1-47	0.68888721123358	1-47	584279	4542371
1-48	0.6885852332779707	1-48	598819	4657027
1-49	0.6828099048769439	1-49	613760	4779070
1-50	0.682319190699079	1-50	628978	4905200
1-51	0.6813755095878001	1-51	670181	5281214
1-52	0.6922844632341839	1-52	701584	5572554
1-53	0.6867733655443152	1-53	729614	5833901
1-54	0.6825079269213348	1-54	747470	5980005
1-55	0.6888494639891288	1-55	765578	6133212
1-56	0.6865091348331572	1-56	784278	6299818
1-57	0.6868866072776687	1-57	802717	6452723
1-58	0.6901706175449193	1-58	821732	6618044
1-59	0.6829986410991997	1-59	841003	6784620
1-60	0.68888721123358	1-60	860594	6955270
1-61	0.6869998490110222	1-61	880387	7126456
1-62	0.6887362222557754	1-62	900162	7290071
1-63	0.6868866072776687	1-63	920163	7455161
1-64	0.6903216065227239	1-64	940525	7625312
1-65	0.6851124867884645	1-65	961138	7797450
1-66	0.6823946851879813	1-66	982049	7972661
1-67	0.6839423222104787	1-67	1003347	8154270
1-68	0.6873395742110826	1-68	1025340	8352932
1-69	0.6880190246112033	1-69	1047423	8547735
1-70	0.6897931451004077	1-70	1069302	8730045
1-71	0.6864713875887061	1-71	1091355	8911572
1-72	0.6883964970557149	1-72	1114063	9107824
1-73	0.6805828174543258	1-73	1136811	9299929
1-74	0.6867733655443152	1-74	1159936	9497684
1-75	0.6863203986109014	1-75	1183230	9694248
1-76	0.6913407821229051	1-76	1206732	9892310
1-77	0.6814887513211536	1-77	1230423	10089979
1-78	0.6842443001660878	1-78	1254381	10290070
1-79	0.6874528159444361	1-79	1278917	10502458
1-80	0.682319190699079	1-80	1303559	10711483
1-81	0.6845840253661483	1-81	1328785	10932387
1-82	0.6863581458553526	1-82	1353783	11140156
1-83	0.6891136947002868	1-83	1379316	11358688
1-84	0.688660727766873	1-84	1404946	11574774
1-85	0.6882455080779103	1-85	1430917	11795344
1-86	0.681601993054507	1-86	1457077	12017070
1-87	0.6883210025668126	1-87	1483390	12236986
1-88	0.689642156122603	1-88	1510310	12469705
1-89	0.6844330363883436	1-89	1537142	12693673
1-90	0.684999245055111	1-90	1565116	12948027
1-91	0.6893024309225426	1-91	1620944	13449133
1-92	0.6919447380341235	1-92	1649743	13695998
1-93	0.6861694096330968	1-93	1678733	13943190
1-94	0.6906613317227842	1-94	1708040	14196916
1-95	0.6882832553223615	1-95	1737366	14446398
1-96	0.6843952891438925	1-96	1766896	14698207
1-97	0.6884719915446172	1-97	1796621	14950931
1-98	0.6904348482560773	1-98	1913979	16074071
1-99	0.687679299411143	1-99	1975891	16669307
1-100	0.6852634757662691	1-100	2009814	16964038
1-101	0.6881322663445568	1-101	2043969	17270342
1-102	0.6766948512758568	1-102	2077949	17565490
2-4	0.6517439226936433	2-4	27389	166364
2-5	0.6529518345160803	2-5	31947	201415
2-6	0.6540842518496149	2-6	33780	213229
2-7	0.6538955156273591	2-7	35661	225786
2-8	0.6552921636720519	2-8	37634	238735
2-9	0.6519326589158991	2-9	39688	252533
2-10	0.6525743620715688	2-10	41884	268210
2-11	0.65359353767175	2-11	44311	288884
2-12	0.6519326589158991	2-12	46652	304448
2-13	0.6521591423826061	2-13	49097	320730
2-14	0.6566888117167446	2-14	51645	337752
2-15	0.648988373848709	2-15	54297	355559
2-16	0.6473274950928583	2-16	57075	374983
2-17	0.6856409482107806	2-17	59996	396097
2-18	0.683300619054809	2-18	62968	416488
2-19	0.6586139211837536	2-19	66015	436512
2-20	0.6449494186924355	2-20	69859	479196
2-21	0.6465348029593839	2-21	73151	502535
2-22	0.6871508379888268	2-22	76507	525458
2-23	0.6866223765665106	2-23	79969	549667
2-24	0.6889249584780311	2-24	83524	573890
2-25	0.6873395742110826	2-25	87197	599521
2-26	0.6890004529669335	2-26	96488	675349
2-27	0.6860184206552922	2-27	100636	704776
2-28	0.684999245055111	2-28	104878	734876
2-29	0.6946247923901555	2-29	109179	765317
2-30	0.6879057828778499	2-30	113598	796862
2-31	0.6826589158991394	2-31	118130	829320
2-32	0.6849237505662087	2-32	122753	862099
2-33	0.6858674316774875	2-33	127503	896401
2-34	0.6866223765665106	2-34	132344	931100
2-35	0.687188585233278	2-35	137302	967253
2-36	0.6859051789219387	2-36	142360	1004303
2-37	0.6849614978106598	2-37	147539	1042439
2-38	0.6846217726105994	2-38	152817	1081155
2-39	0.6886984750113242	2-39	158199	1120820
2-40	0.6891136947002868	2-40	163703	1161513
2-41	0.6829231466102974	2-41	169303	1204174
2-42	0.6836025970104183	2-42	175006	1247496
2-43	0.6854522119885248	2-43	180824	1292604
2-44	0.6837158387437717	2-44	186748	1338725
2-45	0.686962101766571	2-45	192789	1385717
2-46	0.684999245055111	2-46	198947	1433771
2-47	0.6890004529669335	2-47	205190	1482172
2-48	0.6877547939000453	2-48	211535	1531186
2-49	0.6849614978106598	2-49	217999	1581201
2-50	0.6873395742110826	2-50	224573	1632294
2-51	0.6834893552770648	2-51	231263	1683975
2-52	0.6809602898988374	2-52	238052	1736634
2-53	0.6834893552770648	2-53	244947	1790289
2-54	0.6896799033670542	2-54	251951	1845175
2-55	0.6841688056771855	2-55	259056	1900620
2-56	0.6893024309225426	2-56	266265	1957092
2-57	0.6867733655443152	2-57	273578	2014314
2-58	0.6897553978559565	2-58	281003	2072917
2-59	0.681337762343349	2-59	288551	2133012
2-60	0.6814132568322513	2-60	296187	2193068
2-61	0.6886984750113242	2-61	303943	2254450
2-62	0.6854144647440736	2-62	311813	2316225
2-63	0.6882077608334591	2-63	319774	2378359
2-64	0.6844707836327948	2-64	327872	2442742
2-65	0.6945870451457044	2-65	336051	2506925
2-66	0.6915295183451609	2-66	344333	2572006
2-67	0.684508530877246	2-67	352720	2637870
2-68	0.6851124867884645	2-68	361221	2704889
2-69	0.6861694096330968	2-69	369824	2772548
2-70	0.6832628718103578	2-70	378535	2841378
2-71	0.6896799033670542	2-71	387366	2911332
2-72	0.6886984750113242	2-72	396293	2981846
2-73	0.6853389702551713	2-73	405366	3054702
2-74	0.684772761588404	2-74	414509	3126762
2-75	0.6881322663445568	2-75	423756	3199549
2-76	0.680129850520912	2-76	433112	3273643
2-77	0.6893024309225426	2-77	442578	3348527
2-78	0.6877547939000453	2-78	452146	3424506
2-79	0.6861316623886456	2-79	461826	3501447
2-80	0.6864713875887061	2-80	471622	3579616
2-81	0.6896044088781519	2-81	481522	3658452
2-82	0.6857164426996829	2-82	491528	3738027
2-83	0.6901706175449193	2-83	501639	3818620
2-84	0.6825456741657859	2-84	511904	3901523
2-85	0.6853012230107203	2-85	522249	3984294
2-86	0.6867356182998641	2-86	532678	4067189
2-87	0.6817907292767628	2-87	543235	4151597
2-88	0.6831118828325532	2-88	553879	4236161
2-89	0.6858296844330364	2-89	564632	4321767
2-90	0.6880945191001057	2-90	575508	4408784
2-91	0.6873395742110826	2-91	586481	4496706
2-92	0.6862826513664503	2-92	597562	4585520
2-93	0.6903216065227239	2-93	608748	4675080
2-94	0.6853767174996225	2-94	620036	4765423
2-95	0.6869243545221199	2-95	631442	4856830
2-96	0.6863581458553526	2-96	642946	4949056
2-97	0.6863203986109014	2-97	654562	5042394
2-98	0.6809980371432885	2-98	666298	5136514
2-99	0.6855277064774271	2-99	678135	5231636
2-100	0.6861694096330968	2-100	690068	5327956
2-101	0.6812622678544467	2-101	702137	5426065
2-102	0.6868866072776687	2-102	714293	5524699
2-103	0.6851879812773668	2-103	726568	5624359
2-104	0.6865091348331572	2-104	907114	7333685
2-105	0.686207156877548	2-105	926909	7521705
2-106	0.6841688056771855	2-106	944005	7673436
2-107	0.6862449041219991	2-107	961458	7833223
2-108	0.685489959232976	2-108	979792	8017386
2-109	0.6825834214102371	2-109	997631	8183061
3-3	0.6879812773667522	3-3	58423	423118
3-4	0.681111278876642	3-4	61548	447668
3-5	0.6860184206552922	3-5	64854	491925
3-6	0.690095123056017	3-6	67995	527014
3-7	0.6884342443001661	3-7	70953	552347
3-8	0.6885097387890684	3-8	74207	583363
3-9	0.6851879812773668	3-9	77431	610212
3-10	0.6834516080326136	3-10	80887	640767
3-11	0.686207156877548	3-11	84987	687845
3-12	0.6796768835874981	3-12	88891	724586
3-13	0.6865091348331572	3-13	92668	754882
3-14	0.6477427147818209	3-14	96506	783135
3-15	0.6538577683829081	3-15	100534	813543
3-16	0.6857164426996829	3-16	104733	846057
3-17	0.6492903518043183	3-17	109022	877456
3-18	0.6493658462932206	3-18	113478	910518
3-19	0.685980673410841	3-19	118317	951499
3-20	0.6490638683376113	3-20	123077	986854
3-21	0.6550656802053451	3-21	128050	1025391
3-22	0.6491771100709648	3-22	133124	1063209
3-23	0.6852634757662691	3-23	138389	1103363
3-24	0.6788841914540239	3-24	143806	1144821
3-25	0.6899441340782123	3-25	149331	1186181
3-26	0.6875660576777896	3-26	154999	1228407
3-27	0.6860939151441945	3-27	160827	1272059
3-28	0.6869243545221199	3-28	166817	1317164
3-29	0.685489959232976	3-29	172943	1363354
3-30	0.6853389702551713	3-30	179203	1410985
3-31	0.6814132568322513	3-31	185609	1459591
3-32	0.6825079269213348	3-32	192189	1510918
3-33	0.6806960591876793	3-33	198923	1562991
3-34	0.6818284765212139	3-34	205797	1616186
3-35	0.688170013589008	3-35	212840	1671153
3-36	0.6832628718103578	3-36	220009	1726702
3-37	0.6525743620715688	3-37	227338	1783709
3-38	0.6490261210931602	3-38	235460	1861584
3-39	0.6510644722935226	3-39	243101	1921678
3-40	0.6572172731390609	3-40	250974	1985804
3-41	0.6492903518043183	3-41	258921	2049589
3-42	0.6524233730937642	3-42	267226	2121009
3-43	0.6507624943379133	3-43	275479	2187222
3-44	0.6498188132266345	3-44	283925	2255953
3-45	0.6894156726558961	3-45	292474	2324286
3-46	0.6844330363883436	3-46	301179	2394333
3-47	0.6895666616337007	3-47	310025	2464975
3-48	0.6558961195832704	3-48	319026	2537067
3-49	0.6512909557602296	3-49	328236	2612248
3-50	0.6522346368715084	3-50	337559	2687338
3-51	0.652876340027178	3-51	347122	2766191
3-52	0.6527630982938245	3-52	356787	2845773
3-53	0.6891891891891891	3-53	366607	2926297
3-54	0.6890004529669335	3-54	376533	3006566
3-55	0.6843952891438925	3-55	386602	3088053
